id,Model,Task,Accuracy
0,partialeps0.5,blimp_adjunct_island,0.699
1,partialeps0.5,blimp_anaphor_gender_agreement,0.734
2,partialeps0.5,blimp_anaphor_number_agreement,0.83
3,partialeps0.5,blimp_animate_subject_passive,0.655
4,partialeps0.5,blimp_animate_subject_trans,0.901
5,partialeps0.5,blimp_causative,0.515
6,partialeps0.5,blimp_complex_NP_island,0.395
7,partialeps0.5,blimp_coordinate_structure_constraint_complex_left_branch,0.192
8,partialeps0.5,blimp_coordinate_structure_constraint_object_extraction,0.461
9,partialeps0.5,blimp_determiner_noun_agreement_1,0.809
10,partialeps0.5,blimp_determiner_noun_agreement_2,0.811
11,partialeps0.5,blimp_determiner_noun_agreement_irregular_1,0.644
12,partialeps0.5,blimp_determiner_noun_agreement_irregular_2,0.816
13,partialeps0.5,blimp_determiner_noun_agreement_with_adj_2,0.631
14,partialeps0.5,blimp_determiner_noun_agreement_with_adj_irregular_1,0.581
15,partialeps0.5,blimp_determiner_noun_agreement_with_adj_irregular_2,0.708
16,partialeps0.5,blimp_determiner_noun_agreement_with_adjective_1,0.648
17,partialeps0.5,blimp_distractor_agreement_relational_noun,0.337
18,partialeps0.5,blimp_distractor_agreement_relative_clause,0.277
19,partialeps0.5,blimp_drop_argument,0.776
20,partialeps0.5,blimp_ellipsis_n_bar_1,0.223
21,partialeps0.5,blimp_ellipsis_n_bar_2,0.587
22,partialeps0.5,blimp_existential_there_object_raising,0.777
23,partialeps0.5,blimp_existential_there_quantifiers_1,0.906
24,partialeps0.5,blimp_existential_there_quantifiers_2,0.435
25,partialeps0.5,blimp_existential_there_subject_raising,0.642
26,partialeps0.5,blimp_expletive_it_object_raising,0.699
27,partialeps0.5,blimp_inchoative,0.463
28,partialeps0.5,blimp_intransitive,0.664
29,partialeps0.5,blimp_irregular_past_participle_adjectives,0.815
30,partialeps0.5,blimp_irregular_past_participle_verbs,0.818
31,partialeps0.5,blimp_irregular_plural_subject_verb_agreement_1,0.688
32,partialeps0.5,blimp_irregular_plural_subject_verb_agreement_2,0.72
33,partialeps0.5,blimp_left_branch_island_echo_question,0.737
34,partialeps0.5,blimp_left_branch_island_simple_question,0.285
35,partialeps0.5,blimp_matrix_question_npi_licensor_present,0.059
36,partialeps0.5,blimp_npi_present_1,0.208
37,partialeps0.5,blimp_npi_present_2,0.257
38,partialeps0.5,blimp_only_npi_licensor_present,0.66
39,partialeps0.5,blimp_only_npi_scope,0.588
40,partialeps0.5,blimp_passive_1,0.84
41,partialeps0.5,blimp_passive_2,0.75
42,partialeps0.5,blimp_principle_A_c_command,0.403
43,partialeps0.5,blimp_principle_A_case_1,1
44,partialeps0.5,blimp_principle_A_case_2,0.624
45,partialeps0.5,blimp_principle_A_domain_1,0.918
46,partialeps0.5,blimp_principle_A_domain_2,0.593
47,partialeps0.5,blimp_principle_A_domain_3,0.558
48,partialeps0.5,blimp_principle_A_reconstruction,0.291
49,partialeps0.5,blimp_regular_plural_subject_verb_agreement_1,0.721
50,partialeps0.5,blimp_regular_plural_subject_verb_agreement_2,0.625
51,partialeps0.5,blimp_sentential_negation_npi_licensor_present,1
52,partialeps0.5,blimp_sentential_negation_npi_scope,0.259
53,partialeps0.5,blimp_sentential_subject_island,0.307
54,partialeps0.5,blimp_superlative_quantifiers_1,0.663
55,partialeps0.5,blimp_superlative_quantifiers_2,0.475
56,partialeps0.5,blimp_tough_vs_raising_1,0.292
57,partialeps0.5,blimp_tough_vs_raising_2,0.749
58,partialeps0.5,blimp_transitive,0.691
59,partialeps0.5,blimp_wh_island,0.376
60,partialeps0.5,blimp_wh_questions_object_gap,0.533
61,partialeps0.5,blimp_wh_questions_subject_gap,0.872
62,partialeps0.5,blimp_wh_questions_subject_gap_long_distance,0.969
63,partialeps0.5,blimp_wh_vs_that_no_gap,0.969
64,partialeps0.5,blimp_wh_vs_that_no_gap_long_distance,0.992
65,partialeps0.5,blimp_wh_vs_that_with_gap,0.104
66,partialeps0.5,blimp_wh_vs_that_with_gap_long_distance,0.029
67,partialeps0.5,blimp,0.60080597
68,classonly,blimp_adjunct_island,0.795
