,e=0,e=0.1,e=0.5,e=0.9,e=1
blimp_adjunct_island,0.646,0.703,0.699,0.723,0.795
blimp_anaphor_gender_agreement,0.798,0.845,0.734,0.63,0.635
blimp_anaphor_number_agreement,0.897,0.871,0.83,0.596,0.584
blimp_animate_subject_passive,0.669,0.684,0.655,0.608,0.557
blimp_animate_subject_trans,0.9,0.9,0.901,0.904,0.845
blimp_causative,0.531,0.543,0.515,0.481,0.469
blimp_complex_NP_island,0.328,0.317,0.395,0.473,0.562
blimp_coordinate_structure_constraint_complex_left_branch,0.089,0.126,0.192,0.147,0.25
blimp_coordinate_structure_constraint_object_extraction,0.434,0.405,0.461,0.533,0.442
blimp_determiner_noun_agreement_1,0.825,0.828,0.809,0.589,0.526
blimp_determiner_noun_agreement_2,0.851,0.852,0.811,0.529,0.523
blimp_determiner_noun_agreement_irregular_1,0.673,0.689,0.644,0.51,0.5
blimp_determiner_noun_agreement_irregular_2,0.814,0.805,0.816,0.591,0.541
blimp_determiner_noun_agreement_with_adj_2,0.751,0.756,0.631,0.489,0.49
blimp_determiner_noun_agreement_with_adj_irregular_1,0.593,0.627,0.581,0.474,0.527
blimp_determiner_noun_agreement_with_adj_irregular_2,0.746,0.759,0.708,0.536,0.509
blimp_determiner_noun_agreement_with_adjective_1,0.736,0.742,0.648,0.523,0.529
blimp_distractor_agreement_relational_noun,0.36,0.346,0.337,0.477,0.478
blimp_distractor_agreement_relative_clause,0.327,0.292,0.277,0.418,0.517
blimp_drop_argument,0.764,0.736,0.776,0.763,0.753
blimp_ellipsis_n_bar_1,0.263,0.268,0.223,0.205,0.455
blimp_ellipsis_n_bar_2,0.675,0.613,0.587,0.409,0.389
blimp_existential_there_object_raising,0.765,0.769,0.777,0.732,0.572
blimp_existential_there_quantifiers_1,0.982,0.966,0.906,0.82,0.655
blimp_existential_there_quantifiers_2,0.315,0.634,0.435,0.072,0.447
blimp_existential_there_subject_raising,0.665,0.701,0.642,0.524,0.554
blimp_expletive_it_object_raising,0.706,0.706,0.699,0.655,0.537
blimp_inchoative,0.486,0.467,0.463,0.47,0.541
blimp_intransitive,0.705,0.669,0.664,0.669,0.7
blimp_irregular_past_participle_adjectives,0.569,0.766,0.815,0.653,0.644
blimp_irregular_past_participle_verbs,0.855,0.852,0.818,0.747,0.396
blimp_irregular_plural_subject_verb_agreement_1,0.686,0.677,0.688,0.483,0.513
blimp_irregular_plural_subject_verb_agreement_2,0.585,0.606,0.72,0.505,0.506
blimp_left_branch_island_echo_question,0.762,0.746,0.737,0.808,0.333
blimp_left_branch_island_simple_question,0.225,0.285,0.285,0.16,0.123
blimp_matrix_question_npi_licensor_present,0.098,0.117,0.059,0.061,0.296
blimp_npi_present_1,0.378,0.224,0.208,0.142,0.009
blimp_npi_present_2,0.355,0.242,0.257,0.128,0.009
blimp_only_npi_licensor_present,0.274,0.365,0.66,0.519,0.429
blimp_only_npi_scope,0.531,0.586,0.588,0.522,0.654
blimp_passive_1,0.842,0.84,0.84,0.8,0.607
blimp_passive_2,0.765,0.776,0.75,0.731,0.628
blimp_principle_A_c_command,0.458,0.418,0.403,0.543,0.362
blimp_principle_A_case_1,1,1,1,1,0.966
blimp_principle_A_case_2,0.622,0.624,0.624,0.521,0.418
blimp_principle_A_domain_1,0.927,0.931,0.918,0.917,0.314
blimp_principle_A_domain_2,0.601,0.606,0.593,0.513,0.477
blimp_principle_A_domain_3,0.54,0.539,0.558,0.492,0.485
blimp_principle_A_reconstruction,0.261,0.3,0.291,0.242,0.186
blimp_regular_plural_subject_verb_agreement_1,0.683,0.74,0.721,0.636,0.462
blimp_regular_plural_subject_verb_agreement_2,0.649,0.631,0.625,0.465,0.465
blimp_sentential_negation_npi_licensor_present,1,1,1,1,0.999999
blimp_sentential_negation_npi_scope,0.296,0.302,0.259,0.478,0.67
blimp_sentential_subject_island,0.364,0.375,0.307,0.27,0.399
blimp_superlative_quantifiers_1,0.805,0.841,0.663,0.404,0.484
blimp_superlative_quantifiers_2,0.332,0.49,0.475,0.766,0.89
blimp_tough_vs_raising_1,0.293,0.334,0.292,0.291,0.623
blimp_tough_vs_raising_2,0.735,0.7,0.749,0.754,0.373
blimp_transitive,0.718,0.711,0.691,0.59,0.492
blimp_wh_island,0.3,0.489,0.376,0.636,0.776
blimp_wh_questions_object_gap,0.523,0.6,0.533,0.534,0.166
blimp_wh_questions_subject_gap,0.82,0.881,0.872,0.96,0.465
blimp_wh_questions_subject_gap_long_distance,0.949,0.966,0.969,0.961,0.47
blimp_wh_vs_that_no_gap,0.922,0.969,0.969,0.997,0.562
blimp_wh_vs_that_no_gap_long_distance,0.977,0.988,0.992,0.998,0.573
blimp_wh_vs_that_with_gap,0.195,0.108,0.104,0.009,0.472
blimp_wh_vs_that_with_gap_long_distance,0.067,0.033,0.029,0.006,0.441
,0.600835821,0.616074627,0.60080597,0.549134328,0.507761179
